Task name: KDDProject
Task description: -

Date of output: 1.5.2020

Survey of antecedent attributes

	Group	Name	Description
	Default Partial Cedent	Country (subset), 1 - 1	-
	Default Partial Cedent	Rank_ (subset), 1 - 1	-
	Default Partial Cedent	Year_ (subset), 1 - 1	-

Survey of variable antecedent attributes

	Group	Name	Description
	Default Partial Cedent	x__A1__Exports_and_imports_ (subset), 1 - 1	-
	Default Partial Cedent	x__C1__Security_Apparatus_ (subset), 1 - 1	-
	Default Partial Cedent	x__E1__Economy_ (subset), 1 - 1	-
	Default Partial Cedent	x__P1__State_Legitimacy_ (subset), 1 - 1	-
	Default Partial Cedent	x__R1__Life_expectancy_at_birth_ (subset), 1 - 1	-
	Default Partial Cedent	x__S1__Demographic_Pressures_ (subset), 1 - 1	-
	Default Partial Cedent	x__U1__Unemployment_total_ (subset), 1 - 1	-

Survey of succedent attributes

	Group	Name	Description

Survey of variable sukcedent attributes

	Group	Name	Description
	Default Partial Cedent	Total( Alert -> Sustainable)	-

Survey of Action4ft-Quantifiers
	a-frequency	Before >= 2.00 Absolute number
	a-frequency	After >= 2.00 Absolute number

Task parameters
	The comparison of the first set versus the second set
	Sets must differ in all rows (i.e. not overlapping sets)

Nr.	Hypothesis	D%-Sum	Df-Conf	Df-AFUI	Df-FUE	Df-Avg	R-Conf	R-DFUI	R-FUE	R-Avg	H-Conf	H-DFUI	H-FUE	H-Avg	B:a	B:b	B:c	B:d	B:r	B:n	B:Conf	B:DConf	B:EConf	B:Supp	B:Cmplt	B:AvgDf	B:Lift	B:LBound	B:UBound	B:ELBound	B:EUBound	B:DLBound	B:DUBound	B:Fisher	B:Chi-Sq	B:PSep	B:bMean	B:bVAR	B:bStDev	B:P(>=90%)	B:P(>=95%)	A:a	A:b	A:c	A:d	A:r	A:n	A:Conf	A:DConf	A:EConf	A:Supp	A:Cmplt	A:AvgDf	A:Lift	A:LBound	A:UBound	A:ELBound	A:EUBound	A:DLBound	A:DUBound	A:Fisher	A:Chi-Sq	A:PSep	A:bMean	A:bVAR	A:bStDev	A:P(>=90%)	A:P(>=95%)	
170	(x__S1__Demographic_Pressures_(9.6)  ->  x__S1__Demographic_Pressures_(3.7)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.13	0.6	-0.0149114632	-0.0451977401	2.0607068607	2.5	0.7837837838	0.9466666667	2.1959459459	2.5	1.275862069	1.0563380282	2.1959459459	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	3	24	148	5	177	0.4	0.0689655172	0.8474576271	0.011299435	0.0769230769	1.7230769231	2.7230769231	0.99954	0.00856	0.989872072	0.017835651	1	0	0.1569047841	2.6303924937	12.5	0.4285714286	0.4285714286	0.1749635531	0.0012700011	0.0000864063	
406	Year_(2010) :  (x__S1__Demographic_Pressures_(9.3)  ->  x__S1__Demographic_Pressures_(3.7)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.13	0.6	-0.0149114632	-0.0451977401	2.0607068607	2.5	0.7837837838	0.9466666667	2.1959459459	2.5	1.275862069	1.0563380282	2.1959459459	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	3	24	148	5	177	0.4	0.0689655172	0.8474576271	0.011299435	0.0769230769	1.7230769231	2.7230769231	0.99954	0.00856	0.989872072	0.017835651	1	0	0.1569047841	2.6303924937	12.5	0.4285714286	0.4285714286	0.1749635531	0.0012700011	0.0000864063	
322	Year_(2010) :  (x__S1__Demographic_Pressures_(9.4)  ->  x__S1__Demographic_Pressures_(3.7)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.14	0.6	0.0121155638	-0.0395480226	2.0607068607	2.5	1.1756756757	0.9533333333	2.1959459459	2.5	1.1756756757	1.048951049	2.1959459459	3	0	34	140	3	177	1	0.0810810811	0.8079096045	0.0169491525	0.0810810811	3.7837837838	4.7837837838	0.729	1	0.9999300855	0.0001580167	1	0	0.0085516179	11.5470643057	10.3333333333	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	3	24	148	5	177	0.4	0.0689655172	0.8474576271	0.011299435	0.0769230769	1.7230769231	2.7230769231	0.99954	0.00856	0.989872072	0.017835651	1	0	0.1569047841	2.6303924937	12.5	0.4285714286	0.4285714286	0.1749635531	0.0012700011	0.0000864063	
401	Year_(2010) :  (x__S1__Demographic_Pressures_(9.6)  ->  x__S1__Demographic_Pressures_(3.7)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.13	0.6	-0.0149114632	-0.0451977401	2.0607068607	2.5	0.7837837838	0.9466666667	2.1959459459	2.5	1.275862069	1.0563380282	2.1959459459	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	3	24	148	5	177	0.4	0.0689655172	0.8474576271	0.011299435	0.0769230769	1.7230769231	2.7230769231	0.99954	0.00856	0.989872072	0.017835651	1	0	0.1569047841	2.6303924937	12.5	0.4285714286	0.4285714286	0.1749635531	0.0012700011	0.0000864063	
114	(x__R1__Life_expectancy_at_birth_(74.4)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.4444444444	-0.0079744817	-0.0282485876	1.6763686764	3	0.8684210526	0.9657534247	4.2689189189	3	1.1515151515	1.0354609929	4.2689189189	2	1	35	139	3	177	0.6666666667	0.0526315789	0.7966101695	0.011299435	0.0540540541	2.1891891892	3.1891891892	0.972	0.271	0.99998761	0.0000299189	1	0	0.1111710324	3.8653208627	17	0.6	0.6	0.2	0.0522999963	0.0140187495	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
110	(x__R1__Life_expectancy_at_birth_(74.5)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.4444444444	-0.0079744817	-0.0282485876	1.6763686764	3	0.8684210526	0.9657534247	4.2689189189	3	1.1515151515	1.0354609929	4.2689189189	2	1	35	139	3	177	0.6666666667	0.0526315789	0.7966101695	0.011299435	0.0540540541	2.1891891892	3.1891891892	0.972	0.271	0.99998761	0.0000299189	1	0	0.1111710324	3.8653208627	17	0.6	0.6	0.2	0.0522999963	0.0140187495	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
106	(x__R1__Life_expectancy_at_birth_(81.5)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.4444444444	-0.0079744817	-0.0282485876	1.6763686764	3	0.8684210526	0.9657534247	4.2689189189	3	1.1515151515	1.0354609929	4.2689189189	2	1	35	139	3	177	0.6666666667	0.0526315789	0.7966101695	0.011299435	0.0540540541	2.1891891892	3.1891891892	0.972	0.271	0.99998761	0.0000299189	1	0	0.1111710324	3.8653208627	17	0.6	0.6	0.2	0.0522999963	0.0140187495	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
345	Year_(2010) :  (x__R1__Life_expectancy_at_birth_(74.4)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.4444444444	-0.0079744817	-0.0282485876	1.6763686764	3	0.8684210526	0.9657534247	4.2689189189	3	1.1515151515	1.0354609929	4.2689189189	2	1	35	139	3	177	0.6666666667	0.0526315789	0.7966101695	0.011299435	0.0540540541	2.1891891892	3.1891891892	0.972	0.271	0.99998761	0.0000299189	1	0	0.1111710324	3.8653208627	17	0.6	0.6	0.2	0.0522999963	0.0140187495	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
341	Year_(2010) :  (x__R1__Life_expectancy_at_birth_(74.5)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.4444444444	-0.0079744817	-0.0282485876	1.6763686764	3	0.8684210526	0.9657534247	4.2689189189	3	1.1515151515	1.0354609929	4.2689189189	2	1	35	139	3	177	0.6666666667	0.0526315789	0.7966101695	0.011299435	0.0540540541	2.1891891892	3.1891891892	0.972	0.271	0.99998761	0.0000299189	1	0	0.1111710324	3.8653208627	17	0.6	0.6	0.2	0.0522999963	0.0140187495	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
337	Year_(2010) :  (x__R1__Life_expectancy_at_birth_(81.5)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.4444444444	-0.0079744817	-0.0282485876	1.6763686764	3	0.8684210526	0.9657534247	4.2689189189	3	1.1515151515	1.0354609929	4.2689189189	2	1	35	139	3	177	0.6666666667	0.0526315789	0.7966101695	0.011299435	0.0540540541	2.1891891892	3.1891891892	0.972	0.271	0.99998761	0.0000299189	1	0	0.1111710324	3.8653208627	17	0.6	0.6	0.2	0.0522999963	0.0140187495	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
