Country,Year,Rank,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','L1: Literacy rate adult','A1: Exports and imports','A2: Foreign direct investment net inflows','R1: Life expectancy at birth','R2: Life expectancy Index','U1: Unemployment total',Outlier,ExtremeValue
'New Zealand',2010,171st,Sustainable,1.1,1.2,3.3,4,4.3,2.1,1,1.6,1.5,1.5,1.4,0.9,98.1,51.7,5.7,76.8,0.874,7.4,no,yes
Nicaragua,2010,65th,Warning,6.5,7,6.3,7.9,7.9,6.9,7.6,7.6,6.2,6.8,5,6.8,83.25,71.4,0.5,62,0.647,1.1,no,no
Niger,2010,19th,Alert,7.3,7.6,8,9.2,7.8,6.5,8.9,9.7,8.5,9.6,6.5,8.2,83.25,82.1,3.8,72.7,0.81,17.2,no,no
Nigeria,2010,14th,Alert,9.3,9.4,9.5,6.9,9.3,8.1,9.4,9.1,8.8,8.4,5.8,6.2,83.25,67.3,3.5,74.4,0.837,19.9,no,no
'North Korea',2010,19th,Alert,8.1,7.8,7.2,9.6,8.8,5,9.9,9.6,9.5,8.5,5.6,8.2,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Norway,2010,177th,Sustainable,1.2,1.1,1.3,2.6,2.4,1.2,0.8,1.1,1.6,1.7,1.6,2.1,83,71.2,1.9,76.3,0.867,13.7,no,yes
Oman,2010,144th,Stable,5.2,6.6,3,4.5,2.7,1.7,6,4.5,6.7,4.7,1.1,2,83.25,50.4,2.8,80,0.923,5.6,no,no
Pakistan,2010,10th,Alert,9.7,9.5,9.4,6.2,8.4,7.9,8.9,7.3,8.9,8.1,8.9,9.3,83.25,75.6,15.2,74.1,0.832,19.2,no,no
Panama,2010,130th,Stable,5.2,3,4.4,5.6,7.5,5,4.8,5.5,4.5,6.3,3.5,4,83.25,83.1,-0.2,72.9,0.814,14.4,no,no
'Papua New Guinea',2010,56th,Warning,6.5,7.1,7.1,6.3,9,7.7,7.8,8.3,6.3,7.5,4.2,6.1,83.25,82.5,25.6,74.9,0.844,7.2,yes,no
Paraguay,2010,106th,Warning,5.9,7.5,6.3,6.2,8,5.8,8.3,5.8,6.7,6.2,1.5,3.9,83.25,51.9,5.5,71.8,0.797,1.7,no,no
Peru,2010,92nd,Warning,7.4,6.9,6.7,5.6,8,7,6.9,6.5,5.5,6.4,4.5,5.5,83.25,76.7,1.7,71.7,0.795,14.6,no,no
Philippines,2010,51st,Warning,7.9,8,7.6,5.8,7.4,7,8.6,6.3,7.5,7.7,6.7,6.6,83.25,201.9,4,67.4,0.73,24.7,no,no
Poland,2010,142nd,Stable,2.4,3.7,3.3,5,4.8,5.9,4.5,3.7,3.8,4.7,3.2,4,83.25,51.3,16.5,73.9,0.83,13.1,no,no
Portugal,2010,162nd,Sustainable,1.4,1.2,2.6,4.7,3.7,2.2,1.9,3.6,3.5,3.7,1.8,2.8,83.25,369.7,9.2,64.3,0.681,19.9,no,yes
Qatar,2010,139th,Stable,2.7,5,5.2,4.1,5.3,3.4,6.3,2.6,4.7,4.5,3,5,83.25,154.1,23,74.1,0.832,4.9,yes,no
Romania,2010,128th,Stable,4.1,5.2,5.6,5.6,5.6,4.9,6,4.8,4.3,5.4,3.2,5.5,83.25,130.5,0.7,49.4,0.452,7.2,no,no
Russia,2010,80th,Warning,6.8,7.6,7.1,5.1,7.9,6,8.1,5.5,8,6.7,5.4,4.8,83.25,89.315823,24.4,81.8,0.951,8.6,yes,no
Rwanda,2010,40th,Warning,5,8,8.5,7,7.2,7,7.5,7.4,7.5,9.1,7,7.5,83.25,56,5.970552,75.5,0.854,4.8,no,no
Samoa,2010,107th,Warning,5.8,5.3,5.1,6.2,6.6,8,6.4,5.1,4.5,6.9,3.1,8.1,83.25,37,0.8,57.7,0.58,0.6,no,no
'Sao Tome and Principe',2010,97th,Warning,6,6.7,5.1,7.3,5.9,7,7.3,7.3,5.1,7.5,4.1,6.5,83.25,91,3.1,54.8,0.535,3.3,no,no
'Saudi Arabia',2010,87th,Warning,7.8,7.8,7.8,3.1,7.3,3.5,8.2,4.1,9.1,6.3,6.2,6.3,83.25,86.8,-5.7,81.9,0.952,1.9,no,no
Senegal,2010,99th,Warning,6.3,4.2,6.1,6.2,7,5.8,5.9,7.4,6,7.6,6.2,5.9,83.25,117.3,0.1,75.4,0.853,1.2,no,no
Serbia,2010,86th,Warning,6.5,8,7.8,6.2,6.9,5.3,6.8,5.2,5.6,5.6,6.9,7,83.25,89.315823,3,62.8,0.658,3.8,no,no
Seychelles,2010,115th,Warning,5.6,6,5,5.8,6.9,4.5,7,4.5,5.9,6.1,4.3,6.3,83.25,73.5,5.970552,70.5,0.776,13.1,no,no
'Sierra Leone',2010,28th,Alert,5.9,7.8,6.7,8.6,8.8,8.3,7.7,9.1,6.8,9.1,7.1,7.7,83.25,47.6,1.7,81.5,0.946,10.7,no,no
