Country,Year,Rank,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','L1: Literacy rate adult','A1: Exports and imports','A2: Foreign direct investment net inflows','R1: Life expectancy at birth','R2: Life expectancy Index','U1: Unemployment total',Outlier,ExtremeValue
Afghanistan,2010,6th,Alert,9.7,9.4,9.7,8.3,8.2,7.2,10,8.9,9.2,9.5,9.2,10,83.25,81.3,1.2,61,0.631,2.3,no,no
Albania,2010,121st,Warning,5.4,6,4.9,6.1,5.7,7.1,6.8,5.6,5.3,5.9,2.8,5.5,83.25,76.5,9.1,76.6,0.87,14.1,no,no
Algeria,2010,71st,Warning,7.5,6.8,8.2,5.1,7.1,6.1,7.5,6.5,7.6,6.7,6.5,5.7,83.25,69.9,1.4,74.9,0.845,10,no,no
Angola,2010,59th,Warning,5.9,6.8,5.9,5,9.1,5.6,8.1,8,7.3,8.4,6.9,6.7,99,104.4,8.4,55.4,0.544,7.7,no,yes
'Antigua and Barbuda',2010,127th,Stable,4.6,4,4.5,5.5,6.1,7.3,5.3,4.6,4.7,4.7,3.4,6.2,83.25,35,2.7,75.8,0.859,19,no,no
Argentina,2010,148th,Stable,2.4,3.2,4.5,5.1,5.8,3.8,3.6,3.7,3.8,4.6,2.2,3.1,94.6,40.6,3.1,73.3,0.82,4.8,no,yes
Armenia,2010,101st,Warning,5.1,7,6,5.8,6.5,7,6.6,5.3,6.4,5.7,6.9,5.8,83.25,99,-5.6,81.9,0.953,5.6,no,no
Australia,2010,168th,Sustainable,1.4,1.5,3.4,3.2,4.2,1.2,1.5,1.8,2,3.5,2.5,1.1,83.25,75,6.3,80.6,0.933,14.5,no,no
Austria,2010,170th,Sustainable,1.1,1.9,3.8,2.7,4.7,1.2,1.4,1.4,1.6,2.7,2.3,2.4,83.25,78.7,8.6,70.9,0.784,1.1,no,no
Azerbaijan,2010,55th,Warning,7.3,7.9,7.9,5.9,7.3,5.7,8,5.5,7.2,6.2,8.1,7.4,83.25,120.5,0.6,72.1,0.802,3.4,no,no
Bahamas,2010,132nd,Stable,4.8,4.8,4.7,5,6.4,5.8,5.5,4.4,2.8,6.2,3.2,5.3,83.25,37.8,1.1,76.1,0.862,10.7,no,no
Bahrain,2010,133rd,Stable,4.7,6.1,6.5,4,6,3.5,6.7,3.1,5.4,4.5,2.6,5.7,83.25,86.9,14.8,69.9,0.767,6.1,no,no
Bangladesh,2010,24th,Alert,8.1,8.9,8.9,7.9,8.8,8.4,8,8.3,7.4,8.4,6.7,6.3,83.25,113.1,2.4,78.4,0.898,8.3,no,no
Barbados,2010,135th,Stable,4.5,4.5,4.9,5.4,6.7,6.5,4.1,3.1,2.8,4,3.2,5.7,90.4,151.1,23.1,70.8,0.782,11.7,yes,yes
Belarus,2010,82nd,Warning,6.2,7.8,6.4,6.7,6.7,4.8,8.7,6.2,7.9,6.7,3.7,6.9,83.25,116.1,6.9,80.1,0.924,1,no,no
Belgium,2010,163rd,Sustainable,1.8,3,4.4,3.7,4.7,1.3,2.3,2.1,1.5,2.6,1.8,2.8,83.25,56.6,0.8,72.1,0.801,3.3,no,no
Belize,2010,112th,Warning,5.7,4.6,4.9,6.2,7.1,6.7,6.2,5.8,3.8,6.5,5.1,6.1,83.25,113.2,4.7,59.3,0.605,2.6,no,no
Benin,2010,93rd,Warning,5.3,4.1,4.2,7.4,7.4,6.7,6.4,8.4,5.5,7.7,6.7,7,83.25,75.5,3.2,68.4,0.744,27.3,no,no
Bhutan,2010,50th,Warning,5.8,7.7,7.7,7.5,8.5,7.1,6.9,7.3,7.9,7,7.3,6.6,83.25,81,2.6,68,0.739,17.9,no,no
Bolivia,2010,53rd,Warning,6.5,8.3,7.7,6.8,8.7,6.7,7.1,7.5,6.6,7.6,4.7,6.7,83.25,94.9,1.7,76,0.862,7.7,no,no
'Bosnia and Herzegovina',2010,60th,Warning,7.2,9.2,8.7,5.7,7.1,5.6,8,5.4,5.9,5.3,7.1,8.3,71.3,22.8,3.7,60.2,0.619,6.7,no,yes
Botswana,2010,113th,Warning,4,2.9,4.1,6.1,7.7,5.9,5.3,6.4,4.8,9,6.6,5.8,36.8,95.4,3.5,73.6,0.825,10.3,no,yes
Brazil,2010,119th,Warning,6.7,5.1,6.2,4,8.8,4.8,6.2,6,5.4,6.3,3.7,4.2,83.25,103.2,3.6,74.7,0.842,4.9,no,no
'Brunei Darussalam',2010,117th,Warning,5.9,7.4,6.6,3.7,7.8,3.8,7.7,3.5,6.9,5.4,4.2,4.7,83.25,48.9,0.4,73.7,0.827,1.8,no,no
Bulgaria,2010,126th,Stable,5.1,4.6,4.5,5.3,6.1,5.8,6,5,4.6,4.5,3.9,5.8,95.1,39.5,0,57.1,0.571,10.7,no,yes
'Burkina Faso',2010,35th,Alert,7.3,7.6,5.9,8,8.8,6.6,7.7,8.8,6.6,9.3,6.2,7.9,93.4,94.4,7,57.2,0.573,1.4,no,yes
Burundi,2010,23rd,Alert,7.1,7.9,7.8,8.2,8.4,6.5,7.6,9,7.7,9.4,8.4,8.7,83.25,113.6,12.5,71.1,0.786,4.1,no,no
Cambodia,2010,40th,Warning,6.4,7.7,6.9,7.7,7.1,7.9,8.7,8.3,7.7,8,5.3,7,83.25,34.4,2.9,81.3,0.943,1.6,no,no
