Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,L1: Literacy rate adult,A1: Exports and imports,A2: Foreign direct investment net inflows,R1: Life expectancy at birth,R2: Life expectancy Index,U1: Unemployment total
Comoros,2010,52nd,85.1,7.5,8,5.6,7.6,6.1,6.4,8.2,8.5,6.8,7.5,3.9,9,84.5,68.2,5.1,56.9,0.568,11.6
Congo Democratic Republic,2010,5th,109.9,9.8,8.9,8.6,8.7,9.5,8,8.8,9,9.4,9.9,9.6,9.7,,40.3,53.2,76.8,0.874,6.3
Congo Republic,2010,31st,92.5,7.6,7.1,6.3,7.8,8.1,6.4,9.1,8.6,7.7,8.7,7.7,7.4,,75.6,2.4,78.8,0.904,2.5
Costa Rica,2010,138th,52,2.5,3.2,3.9,5.4,6.5,4.5,3.9,4.1,3.3,5.5,4.6,4.6,83.1,107.7,4.9,78.3,0.898,7.3
Cote dIvoire,2010,12th,101.2,8.2,8.5,8.9,8,7.9,8.2,9,8.3,8.3,8.4,8,9.5,,,,,,
Croatia,2010,131st,59,4.4,4.3,5.2,6.2,5.3,4.6,4.8,3.7,4.5,4.7,5.9,5.4,,129,1.4,79.4,0.914,6.8
Cuba,2010,77th,79.4,7.3,7.1,5.5,6.3,6.6,7.2,7,5,7.5,6.7,5.7,7.5,,94,-3.7,77.6,0.886,7.5
Cyprus,2010,114th,68,5.3,7.9,7.6,4.3,7.6,5,5.2,3.4,3.6,4.8,4.5,8.8,,94.1,3.2,53,0.507,12.5
Czech Republic,2010,152nd,41.5,2.1,3.3,3.4,4.4,4.1,4.3,3.4,3.6,3.3,3.3,2.8,3.5,,,4.9,79.4,0.914,5.2
Denmark,2010,172nd,22.9,1.5,1,3,3.1,2,1.8,1.1,1.3,1.3,2.8,1.7,2.3,71.5,88.1,3.4,60.1,0.616,4.1
Djibouti,2010,68th,81.9,6,7.1,5.9,6.4,6.5,5.5,7.2,7.3,6.6,7.9,6.8,8.7,,60.3,2.9,72,0.801,4.9
Dominican Republic,2010,93rd,76.8,5.6,6.8,5.8,5.9,7.8,8.3,5.6,6.9,6.5,6.5,5.1,6,25.3,73.5,16.8,70.3,0.775,6.9
Ecuador,2010,69th,81.7,6.6,7.8,6.4,6.7,8,7.5,7.4,7,5.8,6.3,6.1,6.1,,28.1,13.3,55.6,0.548,27.3
Egypt,2010,49th,87.6,6.5,8.1,8.2,6.8,7.4,6,8.4,6.1,8.2,7.4,6.7,7.8,84.8,143.8,3.1,62.2,0.649,2.4
El Salvador,2010,85th,78.1,6.7,4.5,5.9,6.6,7.9,7.1,6.8,7,6.7,8.1,5.7,5.1,,106,1,75.3,0.851,4.4
Equatorial Guinea,2010,44th,88.5,8.4,8.4,6.8,4.7,8.8,7.4,9.6,8.4,9.4,8.4,2.3,5.9,,,5.7,46.6,0.409,8.4
Eritrea,2010,30th,93.3,7.6,7.9,6.1,8.6,6.2,7.1,8.8,8.6,8.4,8.7,7.2,8.1,,76.1,4.9,61.6,0.64,8.9
Estonia,2010,140th,50.7,2.6,5.5,5,5,5.2,4.1,4.5,3.3,3.3,4.5,4.2,3.5,,54.9,1.5,66.7,0.718,20.4
Ethiopia,2010,17th,98.8,7.8,9,8.6,8,8.5,7.5,7.7,8.1,8.7,9.2,7.8,7.9,,66.5,3.9,81.5,0.946,17.4
Fiji,2010,74th,80.5,6.8,8.2,7.4,6.7,7.5,6.6,8.9,5.5,6.7,5.9,4.2,6.1,92.6,79.3,2.5,59.6,0.61,5.3
Finland,2010,176th,19.3,1,1,1.2,3,1.7,2.2,0.7,1.2,1.5,2.3,1.7,1.8,99.8,75.4,7.9,71.5,0.792,12.7
France,2010,159th,34.9,1.6,2,5.6,3.6,5.3,1.8,1.8,1.5,2.7,3.7,3.1,2.2,,52.8,0.2,80.1,0.925,3.5
Gabon,2010,98th,75.3,5.7,7.2,3,5.9,7.9,6.4,7.8,6.6,6.4,7,5.9,5.5,94.5,73.1,7.8,61,0.631,4.3
Gambia,2010,75th,80.2,5.8,6.2,4.6,7.5,6.8,6.2,7.6,7.2,7.4,7.6,6,7.3,,62.1,2,80.5,0.931,4.4
